CODMUNICIO,BIOMA,ZONA_CLIMATICA,TP_UMIDADE,DISTR_UMID,TEMPERATURA
140070,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
140045,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
160050,AMAZONIA,Equatorial,umido,1 a 2 meses secos,quente com media maior que 18 graus em todos os meses
140002,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
140040,AMAZONIA,Tropical Zona Equatorial,semi umido,4 a 5 meses secos,quente com media maior que 18 graus em todos os meses
160020,AMAZONIA,Equatorial,umido,1 a 2 meses secos,quente com media maior que 18 graus em todos os meses
140005,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
140010,AMAZONIA,Tropical Zona Equatorial,semi umido,4 a 5 meses secos,quente com media maior que 18 graus em todos os meses
140015,AMAZONIA,Tropical Zona Equatorial,semi umido,4 a 5 meses secos,quente com media maior que 18 graus em todos os meses
140030,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
140017,AMAZONIA,Tropical Zona Equatorial,semi umido,4 a 5 meses secos,quente com media maior que 18 graus em todos os meses
140028,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
150050,AMAZONIA,Equatorial,umido,1 a 2 meses secos,quente com media maior que 18 graus em todos os meses
150530,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
160080,AMAZONIA,Equatorial,umido,1 a 2 meses secos,quente com media maior que 18 graus em todos os meses
160005,AMAZONIA,Equatorial,umido,1 a 2 meses secos,quente com media maior que 18 graus em todos os meses
150510,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
130380,AMAZONIA,Equatorial,super umido,sem seca,quente com media maior que 18 graus em todos os meses
130040,AMAZONIA,Equatorial,super umido,sem seca,quente com media maior que 18 graus em todos os meses
160010,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
160015,AMAZONIA,Equatorial,umido,1 a 2 meses secos,quente com media maior que 18 graus em todos os meses
140020,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
160055,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
160070,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
140023,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
150040,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
160021,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
160023,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
130360,AMAZONIA,Equatorial,super umido,sem seca,quente com media maior que 18 graus em todos os meses
140050,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
160030,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
140047,AMAZONIA,Equatorial,umido,1 a 2 meses secos,quente com media maior que 18 graus em todos os meses
140060,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
160053,AMAZONIA,Equatorial,umido,1 a 2 meses secos,quente com media maior que 18 graus em todos os meses
160040,AMAZONIA,Equatorial,umido,1 a 2 meses secos,quente com media maior que 18 graus em todos os meses
160025,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
150250,AMAZONIA,Zona Econômica Exclusiva,,,
160060,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
150480,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
130430,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
130300,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
150030,AMAZONIA,MASSA DAGUA,,,
130210,AMAZONIA,Equatorial,super umido,sem seca,quente com media maior que 18 graus em todos os meses
130353,AMAZONIA,MASSA DAGUA,,,
150300,AMAZONIA,Equatorial,umido,3 meses secos,quente com media maior que 18 graus em todos os meses
