,codmunres,year,cs_sexo,faixa,count
0,110001.0,2016.0,1,1014,1
1,110001.0,2016.0,1,1519,1
2,110001.0,2016.0,1,2024,4
3,110001.0,2016.0,1,2529,5
4,110001.0,2016.0,1,3034,5
5,110001.0,2016.0,1,3539,1
6,110001.0,2016.0,1,4044,1
7,110001.0,2016.0,1,5054,5
8,110001.0,2016.0,1,509,1
9,110001.0,2016.0,1,5559,3
10,110001.0,2016.0,1,6064,1
11,110001.0,2016.0,2,1014,2
12,110001.0,2016.0,2,2024,3
13,110001.0,2016.0,2,3034,3
14,110001.0,2016.0,2,4,1
15,110001.0,2016.0,2,4044,1
16,110001.0,2016.0,2,5054,2
17,110001.0,2016.0,2,509,1
18,110001.0,2016.0,2,6569,1
19,110001.0,2019.0,1,2024,1
20,110001.0,2019.0,2,1519,1
21,110002.0,2016.0,1,1519,3
22,110002.0,2016.0,1,2024,3
23,110002.0,2016.0,1,2529,4
24,110002.0,2016.0,1,3034,1
25,110002.0,2016.0,1,3539,1
26,110002.0,2016.0,2,4,1
27,110002.0,2017.0,1,2529,1
28,110002.0,2017.0,1,3034,1
29,110002.0,2019.0,1,1014,1
30,110002.0,2019.0,1,3034,1
31,110002.0,2019.0,1,3539,1
32,110003.0,2019.0,1,3539,1
33,110003.0,2019.0,1,6064,1
34,110003.0,2019.0,2,4044,1
35,110004.0,2016.0,1,2024,1
36,110004.0,2016.0,2,4,1
37,110004.0,2017.0,1,2024,1
38,110004.0,2019.0,1,1014,1
39,110004.0,2019.0,1,1519,1
40,110004.0,2019.0,1,2024,1
41,110004.0,2019.0,1,2529,1
42,110004.0,2019.0,1,509,1
43,110004.0,2019.0,2,1014,1
44,110004.0,2019.0,2,4,2
45,110005.0,2016.0,1,1014,1
46,110005.0,2016.0,1,1519,3
47,110005.0,2016.0,1,2024,2
48,110005.0,2016.0,1,2529,4
49,110005.0,2016.0,1,3034,1
50,110005.0,2016.0,1,3539,1
51,110005.0,2016.0,1,4,2
52,110005.0,2016.0,1,4044,3
53,110005.0,2016.0,1,4549,3
54,110005.0,2016.0,1,5054,1
55,110005.0,2016.0,1,509,1
56,110005.0,2016.0,2,1519,1
57,110005.0,2016.0,2,2024,2
58,110005.0,2016.0,2,2529,2
59,110005.0,2016.0,2,3034,1
60,110005.0,2016.0,2,4,1
61,110005.0,2016.0,2,4549,1
62,110005.0,2017.0,1,1014,1
63,110005.0,2017.0,1,2024,2
64,110005.0,2017.0,1,2529,1
65,110005.0,2017.0,1,3034,2
66,110005.0,2017.0,1,3539,1
67,110005.0,2017.0,1,4,1
68,110005.0,2017.0,2,3539,1
69,110005.0,2019.0,1,3539,1
70,110006.0,2016.0,1,2529,1
71,110006.0,2016.0,1,3034,1
72,110006.0,2016.0,2,4,1
73,110007.0,2016.0,1,2529,1
74,110007.0,2016.0,1,4044,1
75,110007.0,2016.0,2,2024,1
76,110009.0,2016.0,1,1519,3
77,110009.0,2016.0,1,2024,1
78,110009.0,2016.0,1,2529,1
79,110009.0,2016.0,1,3034,4
80,110009.0,2016.0,1,3539,1
81,110009.0,2016.0,1,4,1
82,110009.0,2016.0,1,509,1
83,110009.0,2016.0,1,7579,1
84,110009.0,2016.0,2,1014,1
85,110009.0,2016.0,2,4,2
86,110009.0,2016.0,2,4044,1
87,110009.0,2016.0,2,509,1
88,110009.0,2016.0,2,5559,1
89,110009.0,2017.0,1,1014,2
90,110009.0,2018.0,1,1519,1
91,110010.0,2015.0,1,2529,1
92,110010.0,2015.0,2,3539,1
93,110010.0,2016.0,1,1014,2
94,110010.0,2016.0,1,1519,7
95,110010.0,2016.0,1,2024,3
96,110010.0,2016.0,1,2529,2
97,110010.0,2016.0,1,3034,5
98,110010.0,2016.0,1,3539,9
99,110010.0,2016.0,1,4044,4
100,110010.0,2016.0,1,4549,5
101,110010.0,2016.0,1,5054,3
102,110010.0,2016.0,1,509,2
103,110010.0,2016.0,1,5559,2
104,110010.0,2016.0,1,6064,1
105,110010.0,2016.0,1,7074,1
106,110010.0,2016.0,2,2024,3
107,110010.0,2016.0,2,3034,1
108,110010.0,2016.0,2,3539,3
109,110010.0,2016.0,2,4549,1
110,110010.0,2016.0,2,5054,1
